Belgium,1765
France,1733
Brazil,1712
England,1661
Uruguay,1645
Croatia,1642
Portugal,1639
Spain,1636
Argentina,1623
Colombia,1622
Mexico,1621
Switzerland,1608
Italy,1607
Netherlands,1604
Germany,1602
Denmark,1598
Chile,1579
Sweden,1579
Poland,1559
Senegal,1555
Peru,1544
USA,1542
Wales,1540
Ukraine,1537
Venezuela,1517
Austria,1507
Tunisia,1506
Japan,1500
Turkey,1494
Serbia,1494
Nigeria,1493
Slovakia,1490
IR Iran,1489
Republic of Ireland,1486
Algeria,1482
Northern Ireland,1476
Romania,1475
Russia,1470
Iceland,1465
Korea Republic,1464
Paraguay,1461
Australia,1457
Morocco,1456
Norway,1451
Czech Republic,1446
Costa Rica,1439
Ghana,1439
Jamaica,1438
Bosnia and Herzegovina,1430
Scotland,1422
